t,y_t,h_mean,vol,ess,loglik,scenario,sigma
124,-0.06136270,-5.311209,0.24934743,408.33,0.9694,Gradual Build,30.0
125,-0.03016600,-5.357347,0.20425987,414.56,1.6111,Gradual Build,30.0
126,-0.00957638,-5.467047,0.24635553,347.69,2.0679,Gradual Build,30.0
127,0.09549346,-5.148763,0.25348985,378.63,0.3110,Gradual Build,30.0
128,0.02426867,-5.294867,0.19783092,410.32,1.7388,Gradual Build,30.0
129,0.01469907,-5.454123,0.17211613,389.04,1.9610,Gradual Build,30.0
130,-0.08444559,-5.234111,0.21391819,395.64,0.5279,Gradual Build,30.0
131,0.04198209,-5.303570,0.22496907,422.96,1.3922,Gradual Build,30.0
132,-0.08950678,-5.118649,0.24733999,403.54,0.5169,Gradual Build,30.0
133,0.02353012,-5.254158,0.23325942,403.18,1.7079,Gradual Build,30.0
134,0.02939278,-5.331728,0.26362875,402.02,1.5923,Gradual Build,30.0
135,0.00282193,-5.420013,0.26645881,224.53,2.2889,Gradual Build,30.0
136,0.04744940,-5.349323,0.29011461,396.30,1.2018,Gradual Build,30.0
137,-0.01094850,-5.387653,0.29402852,348.19,2.0699,Gradual Build,30.0
138,0.02532013,-5.405759,0.30712622,389.35,1.7383,Gradual Build,30.0
139,0.02822154,-5.413654,0.31701067,392.58,1.6557,Gradual Build,30.0
140,-0.03162682,-5.428067,0.26890245,385.95,1.5503,Gradual Build,30.0
141,-0.05282402,-5.315182,0.33182615,391.41,1.0494,Gradual Build,30.0
142,0.07206322,-5.190080,0.31177849,381.32,0.6822,Gradual Build,30.0
143,-0.00373042,-5.355035,0.24812955,257.53,2.2172,Gradual Build,30.0
144,0.10108434,-5.072380,0.26948392,361.46,0.2236,Gradual Build,30.0
145,-0.02112205,-5.199952,0.19173446,385.49,1.7140,Gradual Build,30.0
146,0.00866460,-5.357873,0.20465574,317.91,2.0716,Gradual Build,30.0
147,0.04308302,-5.364804,0.19099796,401.38,1.3087,Gradual Build,30.0
148,-0.05185862,-5.284128,0.24144104,400.68,1.1356,Gradual Build,30.0
149,0.01434085,-5.398618,0.21814600,382.66,1.9702,Gradual Build,30.0
150,-0.02561407,-5.444632,0.27355909,392.28,1.6943,Gradual Build,30.0
151,-0.01109028,-5.514113,0.32269174,341.41,2.0803,Gradual Build,30.0
152,-0.02220371,-5.522342,0.28254849,385.97,1.8185,Gradual Build,30.0
153,0.08623027,-5.136893,0.33247703,360.21,0.3762,Gradual Build,30.0
154,0.05884725,-5.123307,0.28145677,389.43,0.9614,Gradual Build,30.0
155,-0.04547707,-5.163928,0.26562515,402.04,1.2600,Gradual Build,30.0
156,-0.00737385,-5.314425,0.29942116,290.63,2.1173,Gradual Build,30.0
157,0.02962960,-5.358529,0.25446013,396.86,1.5959,Gradual Build,30.0
158,0.03808354,-5.341164,0.26885509,403.48,1.4296,Gradual Build,30.0
159,0.03996743,-5.355859,0.33163637,393.09,1.3652,Gradual Build,30.0
160,0.01082154,-5.456565,0.33462662,348.21,2.1112,Gradual Build,30.0
161,0.01981475,-5.516001,0.27242699,385.65,1.9029,Gradual Build,30.0
162,0.03227034,-5.572517,0.26952198,399.80,1.5808,Gradual Build,30.0
163,0.00168652,-5.732921,0.29684538,175.25,2.5784,Gradual Build,30.0
164,0.05872855,-5.471369,0.27811813,376.81,0.8716,Gradual Build,30.0
165,-0.01523366,-5.591306,0.27829981,371.38,2.0400,Gradual Build,30.0
166,-0.03722512,-5.566760,0.29554161,394.42,1.4286,Gradual Build,30.0
167,-0.00326857,-5.720633,0.24002573,266.15,2.4400,Gradual Build,30.0
168,-0.00856562,-5.870416,0.19027811,342.23,2.3206,Gradual Build,30.0
169,0.00258115,-5.991129,0.16403243,284.04,2.4952,Gradual Build,30.0
170,-0.01358843,-6.067845,0.14103636,393.04,2.2077,Gradual Build,30.0
171,-0.00268852,-6.185282,0.13903262,277.32,2.5529,Gradual Build,30.0
172,-0.10502601,-5.579935,0.19921380,306.37,-0.0606,Gradual Build,30.0
173,-0.04439750,-5.564357,0.20422432,409.24,1.3078,Gradual Build,30.0
174,-0.03621946,-5.575192,0.20354094,414.80,1.5031,Gradual Build,30.0
175,-0.06260871,-5.426221,0.22866315,406.02,0.9392,Gradual Build,30.0
176,0.01906246,-5.558120,0.24616790,399.21,1.8762,Gradual Build,30.0
177,-0.00812170,-5.677526,0.20976129,337.40,2.1985,Gradual Build,30.0
